1,1,1,10,5,3,2,0,2
1,1,2,9,5,1,1,4,6
1,1,3,4,2,4,3,8,10
1,1,4,7,4,1,1,12,14
1,1,5,11,6,2,4,16,18
1,1,6,12,6,4,5,20,22
1,1,7,6,3,2,6,24,26
1,1,8,3,2,3,5,28,30
1,1,9,5,3,3,2,32,34
1,1,10,2,1,2,4,36,38
1,1,11,8,4,4,6,40,42
1,1,12,1,1,1,3,44,46
1,2,1,1,4,2,3,156,158
1,2,2,6,2,1,6,160,162
1,2,3,8,5,2,6,164,166
1,2,4,10,4,1,2,168,170
1,2,5,5,6,2,2,172,174
1,2,6,4,3,3,3,176,178
1,2,7,2,6,3,4,180,182
1,2,8,7,1,3,1,184,186
1,2,9,11,3,4,4,188,190
1,2,10,12,1,1,5,192,194
1,2,11,3,5,4,5,196,198
1,2,12,9,2,4,1,200,202
1,3,1,2,1,3,4,312,314
1,3,2,7,4,3,1,316,318
1,3,3,12,6,1,5,320,322
1,3,4,3,2,4,5,324,326
1,3,5,9,5,4,1,328,330
1,3,6,1,1,2,3,332,334
1,3,7,8,4,2,6,336,338
1,3,8,4,2,3,3,340,342
1,3,9,10,5,1,2,344,346
1,3,10,5,3,2,2,348,350
1,3,11,6,3,1,6,352,354
1,3,12,11,6,4,4,356,358
1,4,1,5,6,3,2,468,470
1,4,2,11,3,2,4,472,474
1,4,3,3,5,3,5,476,478
1,4,4,2,6,2,4,480,482
1,4,5,8,5,4,6,484,486
1,4,6,6,2,2,6,488,490
1,4,7,9,2,1,1,492,494
1,4,8,1,4,1,3,496,498
1,4,9,12,1,4,5,500,502
1,4,10,10,4,3,2,504,506
1,4,11,4,3,4,3,508,510
1,4,12,7,1,1,1,512,514
2,5,1,12,6,1,5,0,2
2,5,2,5,3,2,2,4,6
2,5,3,2,1,3,4,8,10
2,5,4,9,5,4,1,12,14
2,5,5,4,2,3,3,16,18
2,5,6,10,5,1,2,20,22
2,5,7,1,1,2,3,24,26
2,5,8,8,4,2,6,28,30
2,5,9,3,2,4,5,32,34
2,5,10,11,6,4,4,36,38
2,5,11,7,4,3,1,40,42
2,5,12,6,3,1,6,44,46
2,6,1,4,3,4,3,156,158
2,6,2,1,4,1,3,160,162
2,6,3,6,2,2,6,164,166
2,6,4,5,6,3,2,168,170
2,6,5,12,1,4,5,172,174
2,6,6,11,3,2,4,176,178
2,6,7,7,1,1,1,180,182
2,6,8,10,4,3,2,184,186
2,6,9,9,2,1,1,188,190
2,6,10,3,5,3,5,192,194
2,6,11,2,6,2,4,196,198
2,6,12,8,5,4,6,200,202
2,7,1,11,3,4,4,312,314
2,7,2,8,5,2,6,316,318
2,7,3,7,1,3,1,320,322
2,7,4,1,4,2,3,324,326
2,7,5,6,2,1,6,328,330
2,7,6,3,5,4,5,332,334
2,7,7,5,6,2,2,336,338
2,7,8,12,1,1,5,340,342
2,7,9,2,6,3,4,344,346
2,7,10,9,2,4,1,348,350
2,7,11,10,4,1,2,352,354
2,7,12,4,3,3,3,356,358
2,8,1,9,5,1,1,468,470
2,8,2,3,2,3,5,472,474
2,8,3,10,5,3,2,476,478
2,8,4,8,4,4,6,480,482
2,8,5,2,1,2,4,484,486
2,8,6,7,4,1,1,488,490
2,8,7,4,2,4,3,492,494
2,8,8,11,6,2,4,496,498
2,8,9,6,3,2,6,500,502
2,8,10,1,1,1,3,504,506
2,8,11,12,6,4,5,508,510
2,8,12,5,3,3,2,512,514
